seq	visual_nr	file	caption
109	108	verde.jpg	Verde
110	109	si-mai-mult-verde.jpg	Și mai mult verde
111	110	geomont-111.jpg	
112	111	in-cheile-zarnestilor.jpg	În Cheile Zărneștilor
113	112	in-cheile-zarnestilor-2.jpg	În Cheile Zărneștilor
114	113	in-apropiere-de-saua-joaca.jpg	În apropiere de Șaua Joaca
115	114	geomontisti-cu-vechime.jpg	Geomontiști cu vechime
116	115	moment-de-respiro-cu-ploaia-pe-urmele-noastre.jpg	Moment de respiro, cu ploaia pe urmele noastre
117	116	cu-geografii-din-anul-3-acum-absolventi-si-masteranzi-geomontisti-die-hard.jpg	Cu geografii din anul 3 (acum absolvenți și masteranzi), geomontiști ”die-hard”
118	117	a-doua-editie-a-celebrului-concurs-de-cultura-generala-geografica-si-montana.jpg	A doua ediție a celebrului concurs de cultură generală geografică și montană
119	118	reclama-nu-atat-de-ascunsa-la-geomont.jpg	Reclamă nu atât de ascunsă la Geomont!
